nodename,originalname,parentnodename,nodetype,effectivedate,expirationdate,unassigned,createdby
Global,Global,,Direct,08/22/2023,,N,ashenay@linen.qa
USA,USA,Global,Direct,08/22/2023,,N,ashenay@linen.qa
California,California,USA,Direct,08/22/2023,,N,ashenay@linen.qa
Florida,Florida,USA,Direct,08/22/2023,,N,ashenay@linen.qa
Illinois ,Illinois ,USA,Direct,08/22/2023,,N,ashenay@linen.qa
New York,New York,USA,Direct,08/22/2023,,N,ashenay@linen.qa
Rhode Island,Rhode Island,USA,Direct,08/22/2023,,N,ashenay@linen.qa
Virginia,Virginia,USA,Direct,08/22/2023,,N,ashenay@linen.qa
Texas,Texas,USA,Direct,08/22/2023,,N,ashenay@linen.qa
New Jersy,New Jersy,USA,Direct,08/22/2023,,N,ashenay@linen.qa
West Virginia,West Virginia,USA,Direct,08/22/2023,,N,ashenay@linen.qa
Sacramento,Sacramento,California,Overlay,08/22/2023,,N,ashenay@linen.qa
Los Angeles,Los Angeles,California,Overlay,08/22/2023,,N,ashenay@linen.qa
Tallahassee,Tallahassee,Florida,Overlay,08/22/2023,,N,ashenay@linen.qa
Jacksonville,Jacksonville,Florida,Overlay,08/22/2023,,N,ashenay@linen.qa
Springfield,Springfield,Illinois ,Overlay,08/22/2023,,N,ashenay@linen.qa
Chicago,Chicago,Illinois ,Overlay,08/22/2023,,N,ashenay@linen.qa
Albany,Albany,New York,Overlay,08/22/2023,,N,ashenay@linen.qa
New York City ,New York City ,New York,Overlay,08/22/2023,,N,ashenay@linen.qa
Providence,Providence,Rhode Island,Overlay,08/22/2023,,N,ashenay@linen.qa
Richmond,Richmond,Virginia,Overlay,08/22/2023,,N,ashenay@linen.qa
Virginia Beach,Virginia Beach,Virginia,Overlay,08/22/2023,,N,ashenay@linen.qa
Austin,Austin,Texas,Overlay,08/22/2023,,N,ashenay@linen.qa
Houston,Houston,Texas,Overlay,08/22/2023,,N,ashenay@linen.qa
Trenton,Trenton,New Jersy,Overlay,08/22/2023,,N,ashenay@linen.qa
Newark,Newark,New Jersy,Overlay,08/22/2023,,N,ashenay@linen.qa
Charleston,Charleston,West Virginia,Overlay,08/22/2023,,N,ashenay@linen.qa
Capitol Mall,Capitol Mall,Sacramento,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Downtown Commons,Downtown Commons,Sacramento,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Downtown Sacramento,Downtown Sacramento,Sacramento,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
East Sacramento ,East Sacramento ,Sacramento,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Old Sacremento,Old Sacremento,Sacramento,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Venice Beach,Venice Beach,Los Angeles,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Calle Olvera,Calle Olvera,Los Angeles,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Echo Park,Echo Park,Los Angeles,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Hollywood Sign,Hollywood Sign,Los Angeles,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Los Angeles City Hall,Los Angeles City Hall,Los Angeles,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Florida State Capitol,Florida State Capitol,Tallahassee,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Florida State University,Florida State University,Tallahassee,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Cascades Park,Cascades Park,Tallahassee,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Carnegie Library at FAMU,Carnegie Library at FAMU,Tallahassee,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Museum of Florida History,Museum of Florida History,Tallahassee,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
