nodename,originalname,parentnodename,nodetype,effectivedate,expirationdate,unassigned,createdby
Global,Global,,Direct,08/22/2023,,N,inttestusr1@linen.cloud
USA,USA,Global,Direct,08/22/2023,,N,inttestusr1@linen.cloud
California,California,USA,Direct,08/22/2023,,N,inttestusr1@linen.cloud
Florida,Florida,USA,Direct,08/22/2023,,N,inttestusr1@linen.cloud
Illinois ,Illinois ,USA,Direct,08/22/2023,,N,inttestusr1@linen.cloud
New York,New York,USA,Direct,08/22/2023,,N,inttestusr1@linen.cloud
Rhode Island,Rhode Island,USA,Direct,08/22/2023,,N,inttestusr1@linen.cloud
Virginia,Virginia,USA,Direct,08/22/2023,,N,inttestusr1@linen.cloud
Texas,Texas,USA,Direct,08/22/2023,,N,inttestusr1@linen.cloud
New Jersy,New Jersy,USA,Direct,08/22/2023,,N,inttestusr1@linen.cloud
West Virginia,West Virginia,USA,Direct,08/22/2023,,N,inttestusr1@linen.cloud
Sacramento,Sacramento,California,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Los Angeles,Los Angeles,California,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Tallahassee,Tallahassee,Florida,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Jacksonville,Jacksonville,Florida,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Springfield,Springfield,Illinois ,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Chicago,Chicago,Illinois ,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Albany,Albany,New York,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
New York City ,New York City ,New York,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Providence,Providence,Rhode Island,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Richmond,Richmond,Virginia,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Virginia Beach,Virginia Beach,Virginia,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Austin,Austin,Texas,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Houston,Houston,Texas,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Trenton,Trenton,New Jersy,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Newark,Newark,New Jersy,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Charleston,Charleston,West Virginia,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Capitol Mall,Capitol Mall,Sacramento,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Downtown Commons,Downtown Commons,Sacramento,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Downtown Sacramento,Downtown Sacramento,Sacramento,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
East Sacramento ,East Sacramento ,Sacramento,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Old Sacremento,Old Sacremento,Sacramento,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Venice Beach,Venice Beach,Los Angeles,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Calle Olvera,Calle Olvera,Los Angeles,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Echo Park,Echo Park,Los Angeles,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Hollywood Sign,Hollywood Sign,Los Angeles,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Los Angeles City Hall,Los Angeles City Hall,Los Angeles,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Florida State Capitol,Florida State Capitol,Tallahassee,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Florida State University,Florida State University,Tallahassee,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Cascades Park,Cascades Park,Tallahassee,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Carnegie Library at FAMU,Carnegie Library at FAMU,Tallahassee,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Museum of Florida History,Museum of Florida History,Tallahassee,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Port of Jacksonville,Port of Jacksonville,Jacksonville,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Dames Point Bridge,Dames Point Bridge,Jacksonville,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Jacksonville Union Station,Jacksonville Union Station,Jacksonville,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Florida Theatre,Florida Theatre,Jacksonville,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Memorial Park,Memorial Park,Jacksonville,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Springfield Union Station,Springfield Union Station,Springfield,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Thomas Rees Carillon,Thomas Rees Carillon,Springfield,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Old State Capitol State Historic Site,Old State Capitol State Historic Site,Springfield,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
